VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2023-01-09 22:49:26,2023-01-09 22:58:45,2,3.0,1,N,117,86,2,12.44,0.0,0.5,2.68,0.0,0.3,18.42,2.5
1,2023-01-13 08:21:53,2023-01-13 09:14:51,1,11.35,1,N,170,97,1,45.11,0.5,0.5,5.25,0.0,0.3,51.16,0.0
2,2023-01-09 10:44:53,2023-01-09 10:47:52,4,0.52,4,N,129,132,1,4.77,0.5,0.5,1.25,0.0,0.3,9.32,2.5
1,2023-01-15 15:03:35,2023-01-15 15:09:15,1,1.26,1,N,63,17,1,7.66,0.0,0.5,1.23,0.0,0.3,12.19,2.5
1,2023-01-29 22:38:35,2023-01-29 22:52:23,1,3.77,1,N,224,250,1,16.22,0.0,0.5,2.57,0.0,0.3,22.09,2.5
1,2023-01-23 15:58:22,2023-01-23 16:08:59,2,1.19,1,N,223,129,1,9.11,0.5,0.5,2.43,0.0,0.3,12.34,0.0
2,2023-01-19 16:22:55,2023-01-19 16:50:55,2,2.83,1,N,7,186,2,18.23,0.5,0.5,0.0,0.0,0.3,21.53,2.5
2,2023-01-09 08:34:43,2023-01-09 09:07:56,1,5.51,5,N,121,101,2,25.93,0.5,0.5,3.91,0.0,0.3,30.64,0.0
1,2023-01-18 07:44:54,2023-01-18 08:02:24,3,3.11,1,N,186,128,4,14.88,1.0,0.5,2.92,5.75,0.3,24.35,0.0
1,2023-01-02 18:46:01,2023-01-02 19:25:59,1,11.36,1,N,170,29,3,41.91,0.5,0.5,8.22,0.0,0.3,50.93,0.0
1,2023-01-16 12:44:55,2023-01-16 12:50:01,1,0.83,1,N,202,76,2,6.85,0.5,0.5,0.0,0.0,0.3,10.15,2.5
2,2023-01-01 15:21:18,2023-01-01 15:25:08,2,0.97,1,N,53,110,2,6.37,1.0,0.5,0.0,0.0,0.3,7.17,0.0
2,2023-01-04 06:28:54,2023-01-04 06:35:28,1,1.31,1,N,25,17,1,7.72,0.5,0.5,0.86,2.76,0.3,14.64,2.5
2,2023-01-15 09:23:12,2023-01-15 09:53:15,4,4.78,1,N,101,101,1,22.1,0.5,0.5,5.52,4.37,0.3,35.29,2.5
2,2023-01-07 03:29:03,2023-01-07 03:37:11,1,1.75,1,N,170,67,2,8.57,0.0,0.5,0.87,10.36,0.3,23.1,2.5
2,2023-01-01 08:17:35,2023-01-01 08:29:50,2,2.25,1,N,261,246,1,11.81,0.5,0.5,1.34,0.0,0.3,13.95,0.0
1,2023-01-22 11:05:19,2023-01-22 11:15:33,1,1.98,1,Y,236,101,1,11.13,0.0,0.5,0.0,0.0,0.3,14.43,2.5
2,2023-01-08 11:45:24,2023-01-08 11:55:06,2,1.48,1,N,163,7,1,9.65,1.0,0.5,2.53,8.52,0.3,24.0,2.5
2,2023-01-17 09:24:20,2023-01-17 09:47:26,1,5.21,1,N,101,224,1,21.37,1.0,0.5,0.0,0.0,0.3,24.67,2.5
2,2023-01-18 18:25:05,2023-01-18 19:04:00,3,6.88,1,N,29,100,2,29.27,1.0,0.5,3.41,0.0,0.3,35.98,2.5
1,2023-01-12 22:02:57,2023-01-12 22:12:39,2,0.87,1,N,7,45,1,8.08,0.5,0.5,1.02,0.0,0.3,12.4,2.5
1,2023-01-19 16:03:13,2023-01-19 16:13:20,1,2.38,1,N,202,79,2,11.28,1.0,0.5,2.33,0.0,0.3,14.41,0.0
2,2023-01-02 12:37:17,2023-01-02 12:42:35,1,1.04,1,N,167,132,2,6.22,0.5,0.5,0.99,0.0,0.3,10.51,2.5
1,2023-01-15 21:52:17,2023-01-15 22:00:27,1,3.14,4,N,86,158,2,12.29,0.5,0.5,0.0,0.0,0.3,15.59,2.5
1,2023-01-22 16:42:15,2023-01-22 17:06:49,1,5.33,1,N,117,33,1,22.11,0.5,0.5,5.49,0.0,0.3,30.9,2.5
2,2023-01-26 02:32:06,2023-01-26 02:44:22,1,2.53,1,N,232,261,2,12.42,0.0,0.5,1.29,0.0,0.3,17.01,2.5
